LOAN (Off Site Loaner),,A-3-1-14 (B-Stock),,,,,CPSHIP (Customer Property Shipping),EE-1 (main harvest small rack),,IN LAB (In Progress),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,,H-9-4 (QUAR (Quarantine)antine),,,,B-4-4 (SHPD),B-2-3 (Stock),,,
MIA (Misplaced),,A-3-1-2 (B-Stock),,,,,SR 1 (Shipping Rack 1 - Customer Return),EE-2 (main harvest small rack),,A (Lab),,,,,,H-9-5 (QUAR (Quarantine)antine),,,,C-11-1 (SHPD),B-2-4 (Stock),,,
,,A-3-4-14 (B-Stock),,,,,,,,A-8-4 (Lab),,,,,,I-4-1 (QUAR (Quarantine)antine),,,,Y-16-10 (SHPD),B-7-8 (Stock),,,
,,A-3-4-2 (B-Stock),,,,,,,,A-8-6-2 (Lab),,,,,,I-4-2 (QUAR (Quarantine)antine),,,,Y-4-1 (SHPD),B-8-1 (Stock),,,
,,A-3-4-3 (B-Stock),,,,,,,,A-9-1 (Lab),,,,,,I-4-3 (QUAR (Quarantine)antine),,,,Y-95-1 (SHPD),B-8-2 (Stock),,,
,,A-3-4-4 (B-Stock),,,,,,,,A-9-3 (Lab),,,,,,I-4-4 (QUAR (Quarantine)antine),,,,UNKN (Unknown),B-8-3 (Stock),,,
,,A-3-4-5 (B-Stock),,,,,,,,A-9-6-2 (Lab),,,,,,I-4-5 (QUAR (Quarantine)antine),,,,"SFOVERRIDE (Legacy Salesforce location override, review serial number)",B-8-4 (Stock),,,
,,A-3-4-6 (B-Stock),,,,,,,,A-9-7 (Lab),,,,,,I-4-6 (QUAR (Quarantine)antine),,,,SEE_NOTE (Additional Details on Inventory Item by Serial Number),B-8-5 (Stock),,,
,,A-3-4-7 (B-Stock),,,,,,,,A-9-8-2 (Lab),,,,,,I-4-7 (QUAR (Quarantine)antine),,,,,B-8-6 (Stock),,,
,,A-3-4-8 (B-Stock),,,,,,,,B-3-3 (Lab),,,,,,I-4-8 (QUAR (Quarantine)antine),,,,,B-8-7 (Stock),,,
,,A-3-4-9 (B-Stock),,,,,,,,B-3-7 (Lab),,,,,,I-5-1 (QUAR (Quarantine)antine),,,,,B-8-8 (Stock),,,
,,A-3-5 (B-Stock),,,,,,,,B-3-8-1 (Lab),,,,,,I-5-2 (QUAR (Quarantine)antine),,,,,B-9-1 (Stock),,,
,,A-3-5-1 (B-Stock),,,,,,,,B-6-3 (Lab),,,,,,I-5-3 (QUAR (Quarantine)antine),,,,,B-9-2 (Stock),,,
,,A-3-5-10 (B-Stock),,,,,,,,B-6-6 (Lab),,,,,,I-5-4 (QUAR (Quarantine)antine),,,,,B-9-3 (Stock),,,
,,A-3-5-11 (B-Stock),,,,,,,,B-6-8 (Lab),,,,,,I-5-5 (QUAR (Quarantine)antine),,,,,B-9-4 (Stock),,,
,,A-3-5-12 (B-Stock),,,,,,,,B-9-8 (Lab),,,,,,I-5-6 (QUAR (Quarantine)antine),,,,,B-9-5 (Stock),,,
,,A-3-5-13 (B-Stock),,,,,,,,C-10-2 (Lab),,,,,,I-5-7 (QUAR (Quarantine)antine),,,,,B-9-6 (Stock),,,
,,A-3-5-14 (B-Stock),,,,,,,,C-10-3 (Lab),,,,,,I-5-8 (QUAR (Quarantine)antine),,,,,B-9-7 (Stock),,,
,,A-3-5-2 (B-Stock),,,,,,,,C-11-5 (Lab),,,,,,I-6-1 (QUAR (Quarantine)antine),,,,,B-9-8 (Stock),,,
,,A-3-5-3 (B-Stock),,,,,,,,C-11-8 (Lab),,,,,,I-6-2 (QUAR (Quarantine)antine),,,,,B-10-1 (Stock),,,
,,A-3-5-4 (B-Stock),,,,,,,,C-4-7 (Lab),,,,,,I-6-3 (QUAR (Quarantine)antine),,,,,B-10-2 (Stock),,,
,,A-3-5-5 (B-Stock),,,,,,,,C-5-7 (Lab),,,,,,I-6-4 (QUAR (Quarantine)antine),,,,,B-10-3 (Stock),,,
,,A-3-5-6 (B-Stock),,,,,,,,C-6-2 (Lab),,,,,,I-6-5 (QUAR (Quarantine)antine),,,,,B-10-4 (Stock),,,
,,A-3-5-7 (B-Stock),,,,,,,,C-6-3-2 (Lab),,,,,,I-6-6 (QUAR (Quarantine)antine),,,,,B-10-5 (Stock),,,
,,A-3-5-8 (B-Stock),,,,,,,,C-9-3 (Lab),,,,,,I-6-7 (QUAR (Quarantine)antine),,,,,B-10-6 (Stock),,,
,,A-3-5-9 (B-Stock),,,,,,,,C-9-4 (Lab),,,,,,I-6-8 (QUAR (Quarantine)antine),,,,,B-10-7 (Stock),,,
,,A-3-6 (B-Stock),,,,,,,,C-9-6 (Lab),,,,,,I-7-1 (QUAR (Quarantine)antine),,,,,D-2-2 (Stock),,,
,,A-3-6-1 (B-Stock),,,,,,,,COMP HARDWARE (Lab),,,,,,I-7-2 (QUAR (Quarantine)antine),,,,,D-2-3 (Stock),,,
,,A-3-6-10 (B-Stock),,,,,,,,D-11-3 (Lab),,,,,,I-7-3 (QUAR (Quarantine)antine),,,,,D-2-4 (Stock),,,
,,A-3-6-11 (B-Stock),,,,,,,,D-11-4 (Lab),,,,,,I-7-4 (QUAR (Quarantine)antine),,,,,D-2-5 (Stock),,,
,,A-3-6-12 (B-Stock),,,,,,,,D-12-2 (Lab),,,,,,I-7-5 (QUAR (Quarantine)antine),,,,,D-2-6 (Stock),,,
,,A-3-6-13 (B-Stock),,,,,,,,D-12-3 (Lab),,,,,,I-7-6 (QUAR (Quarantine)antine),,,,,D-2-7 (Stock),,,
